Code,2021 TR,2022 TR,2021 Inf,2022 Inf,2021 ED,2022 ED,2021 GHI,2022 GHI
BRA,34.0,34.0,8.3,9.3,34.1325,12.388333333333334,2.5,5.4
COL,31.0,35.0,3.5,10.2,43.89557692307692,10.94304347826087,8.9,7.6
ZAF,28.0,28.0,4.61,7.0,36.98538461538462,7.944199999999999,12.9,12.9
MEX,30.0,30.0,5.69,7.9,41.80288461538461,2.407692307692308,8.5,8.1
PER,29.5,29.5,4.27,7.88,63.73480769230769,5.85780487804878,8.0,7.6
PHL,25.0,25.0,3.93,5.82,37.6475,1.1157142857142854,16.8,14.8
GTM,25.0,25.0,4.26,6.89,38.347115384615385,15.02,19.6,18.8
TUN,15.0,15.0,5.71,8.31,38.344166666666666,5.23,6.0,6.1
URY,25.0,25.0,7.75,9.11,17.215833333333332,11.992727272727274,2.5,3.0
MYS,24.0,24.0,2.48,3.38,21.67833333333333,5.075833333333333,12.8,12.5
ECU,25.0,25.0,0.13,3.47,34.77692307692308,12.25235294117647,14.0,15.2
THA,20.0,20.0,1.23,6.08,11.95,16.903333333333332,11.7,12.0
EGY,22.5,22.5,5.21,13.89,32.280833333333334,8.615454545454547,12.5,12.3
CHL,10.0,27.0,4.52,11.6,21.95692307692308,19.968461538461536,2.5,3.0
SVK,21.0,21.0,3.15,12.8,34.47038461538462,10.200384615384614,2.5,3.0
KAZ,20.0,20.0,8.0,14.99,38.745,1.3041666666666665,6.4,5.9
EST,20.0,20.0,4.65,19.4,18.318653846153847,10.475576923076924,2.5,3.0
AZE,20.0,20.0,6.65,13.85,32.774166666666666,4.021666666666667,7.5,7.5
RUS,20.0,20.0,6.69,13.75,40.975,11.29,6.2,6.4
UKR,18.0,18.0,9.36,20.18,24.045,1.92,6.8,7.5
ARM,18.0,18.0,7.18,8.78,40.51083333333333,10.700833333333334,7.2,6.9
HRV,18.0,18.0,2.55,10.78,23.316346153846155,11.95923076923077,2.5,3.0
LVA,20.0,20.0,3.28,17.3,24.024615384615384,8.573653846153846,2.5,3.0
ROU,16.0,16.0,5.05,13.8,28.96519230769231,3.649230769230769,2.5,3.0
LTU,15.0,15.0,4.68,19.7,30.649615384615384,18.005192307692308,2.5,3.0
MUS,15.0,15.0,4.03,10.77,12.916666666666666,10.335,12.2,13.4
GEO,15.0,15.0,9.57,11.9,35.985,15.908333333333331,6.3,5.7
SRB,15.0,15.0,4.09,11.98,35.425000000000004,9.979166666666666,2.5,3.0
ALB,15.0,15.0,2.04,6.73,40.43333333333333,4.395833333333333,6.2,6.2
OMN,15.0,15.0,1.55,2.81,32.759166666666665,-1.8966666666666665,12.3,13.0
UZB,15.0,15.0,10.69,11.32,12.335,10.369166666666668,5.9,5.6
PRY,10.0,10.0,4.79,9.77,54.03416666666666,10.628333333333332,7.5,8.0
BGR,10.0,10.0,2.79,15.33,39.3325,10.048076923076923,6.1,5.9
MNE,9.0,15.0,2.41,13.05,36.75980769230769,9.690882352941175,2.5,3.0
