,Country Code,IMF Country Code,Country,Indicator Type,Series Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Note,mean_inflation
185,VEN,299.0,"Venezuela, RB",Inflation,Headline Consumer Price Inflation,30.37,27.07,28.17,26.08,21.06,40.59,62.14,121.4,254.39,438.12,65374.08,19906.02,2355.15,1588.51,220.84,Annual average inflation,6032.932666666666
151,SDN,732.0,Sudan,Inflation,Headline Consumer Price Inflation,14.3,11.26,12.98,18.1,35.56,36.52,36.91,16.91,17.75,32.35,63.29,50.99,17087.72,359.09,138.81,Annual average inflation,1195.5026666666668
192,ZWE,698.0,Zimbabwe,Inflation,Headline Consumer Price Inflation,156.96,6.22,3.05,3.47,3.72,1.63,-0.21,-2.41,-1.57,0.91,10.61,255.29,557.21,98.55,284.94,Annual average inflation,91.89133333333334
98,LBN,446.0,Lebanon,Inflation,Headline Consumer Price Inflation,10.76,1.22,3.97,4.99,6.55,5.57,1.12,-3.75,-0.82,4.48,6.07,2.89,84.86,154.76,171.2,Annual average inflation,30.257999999999996
5,ARG,213.0,Argentina,Inflation,Headline Consumer Price Inflation,8.59,6.27,10.46,9.77,10.04,10.62,38.08,26.54,39.4,25.68,34.28,53.55,42.02,48.41,72.43,Annual average inflation,29.076000000000004
81,IRN,429.0,"Iran, Islamic Rep.",Inflation,Headline Consumer Price Inflation,25.3,10.82,12.3,21.53,30.57,36.58,16.61,12.47,7.26,9.64,17.95,41.02,36.5,43.39,42.44,Annual average inflation,24.292000000000005
189,YEM,474.0,"Yemen, Rep.",Inflation,Headline Consumer Price Inflation,18.98,3.67,11.17,19.54,9.89,10.97,8.1,39.4,5.0,30.4,27.6,10.0,26.18,45.7,43.85,Annual average inflation,20.69666666666667
161,SUR,366.0,Suriname,Inflation,Headline Consumer Price Inflation,14.67,-0.3,6.95,17.68,5.01,1.92,3.38,6.9,55.5,22.02,6.94,4.39,49.77,59.11,54.26,Annual average inflation,20.546666666666667
56,ETH,644.0,Ethiopia,Inflation,Headline Consumer Price Inflation,44.37,8.48,8.13,33.23,24.13,8.15,7.41,10.08,7.28,10.69,13.84,15.81,20.35,26.84,33.89,Annual average inflation,18.17866666666667
20,BLR,913.0,Belarus,Inflation,Headline Consumer Price Inflation,14.73,12.83,7.66,53.17,59.5,18.33,18.09,13.48,11.8,6.03,4.87,5.6,5.55,9.46,15.21,Annual average inflation,17.087333333333333
2,AGO,614.0,Angola,Inflation,Headline Consumer Price Inflation,12.47,13.72,14.48,13.48,10.28,8.78,7.3,9.16,32.38,29.84,19.63,17.08,21.02,23.85,21.35,Annual average inflation,16.988000000000003
36,COD,636.0,"Congo, Dem. Rep.",Inflation,Headline Consumer Price Inflation,17.97,46.1,23.46,14.95,0.86,0.88,1.24,0.96,18.2,35.79,29.27,4.7,11.5,8.99,8.44,Annual average inflation,14.887333333333334
176,TUR,186.0,Turkey,Inflation,Headline Consumer Price Inflation,10.44,6.25,8.57,6.47,8.89,7.49,8.85,7.67,7.78,11.14,16.33,15.18,12.28,19.6,72.31,Annual average inflation,14.616666666666667
123,MWI,676.0,Malawi,Inflation,Headline Consumer Price Inflation,8.72,8.42,7.41,7.62,21.3,28.28,23.77,21.86,21.73,11.54,9.22,9.38,8.63,9.34,18.45,Annual average inflation,14.377999999999997
180,UKR,926.0,Ukraine,Inflation,Headline Consumer Price Inflation,25.2,15.86,9.33,7.95,0.59,-0.23,12.15,48.57,13.95,14.44,10.94,7.89,2.73,9.36,20.18,Annual average inflation,13.260666666666664
64,GHA,652.0,Ghana,Inflation,Headline Consumer Price Inflation,16.5,13.14,6.7,7.68,7.07,11.67,15.49,17.15,17.44,12.37,9.84,7.18,9.95,9.97,31.92,Annual average inflation,12.937999999999999
127,NGA,694.0,Nigeria,Inflation,Headline Consumer Price Inflation,11.57,12.57,13.74,10.81,12.2,8.48,8.04,9.01,15.69,16.5,12.1,11.4,13.25,16.95,18.85,Annual average inflation,12.744
183,UZB,927.0,Uzbekistan,Inflation,Headline Consumer Price Inflation,13.13,12.3,12.3,12.45,11.9,11.7,9.08,8.46,7.98,13.88,17.68,14.53,12.86,10.69,11.32,Annual average inflation,12.017333333333333
52,EGY,469.0,"Egypt, Arab Rep.",Inflation,Headline Consumer Price Inflation,18.32,11.88,11.06,10.08,7.12,9.47,10.06,10.35,13.81,23.54,14.4,13.88,5.7,5.21,13.89,Annual average inflation,11.918
76,HTI,263.0,Haiti,Inflation,Headline Consumer Price Inflation,14.38,3.43,4.14,7.39,6.78,6.78,3.94,7.52,13.38,14.74,12.89,17.31,22.8,15.94,26.82,Annual average inflation,11.882666666666665
65,GIN,656.0,Guinea,Inflation,Headline Consumer Price Inflation,18.37,4.68,15.47,21.35,15.23,11.89,9.71,8.15,8.17,8.91,9.83,9.47,10.6,12.6,12.72,Annual average inflation,11.81
99,LBR,668.0,Liberia,Inflation,Headline Consumer Price Inflation,17.49,7.43,7.29,8.49,6.83,7.58,9.86,7.74,8.84,12.44,23.56,26.97,11.89,7.82,6.91,Annual average inflation,11.40933333333333
160,STP,716.0,São Tomé and Principe,Inflation,Headline Consumer Price Inflation,31.99,16.96,13.34,14.32,10.64,8.11,6.99,5.26,5.43,5.69,7.87,8.36,7.87,8.14,15.05,Annual average inflation,11.068000000000003
155,SLE,724.0,Sierra Leone,Inflation,Headline Consumer Price Inflation,8.2,7.47,7.89,6.1,6.59,5.52,4.64,6.69,10.88,18.22,16.03,14.8,13.45,11.87,25.91,Annual average inflation,10.950666666666667
191,ZMB,754.0,Zambia,Inflation,Headline Consumer Price Inflation,12.44,13.38,8.5,6.44,6.59,6.99,7.82,10.11,17.86,6.58,7.49,9.8,15.73,22.02,10.99,Annual average inflation,10.849333333333334
135,PAK,564.0,Pakistan,Inflation,Headline Consumer Price Inflation,19.75,12.16,12.93,11.92,9.68,7.69,7.2,2.55,3.75,4.15,5.07,6.74,9.74,9.5,19.87,Annual average inflation,9.513333333333332
100,LBY,672.0,Libya,Inflation,Headline Consumer Price Inflation,10.4,2.45,2.46,15.9,6.07,2.59,2.43,9.84,25.88,28.47,-1.2,4.56,22.26,2.77,5.52,Annual average inflation,9.360000000000001
119,MNG,948.0,Mongolia,Inflation,Headline Consumer Price Inflation,26.74,6.4,10.34,7.74,14.29,9.96,12.8,6.56,0.72,4.62,6.83,7.26,3.69,7.1,15.15,Annual average inflation,9.346666666666666
11,BDI,618.0,Burundi,Inflation,Headline Consumer Price Inflation,24.41,10.56,6.49,9.59,18.16,7.94,4.41,5.54,5.56,16.64,-2.81,-0.71,7.32,8.31,17.34,Annual average inflation,9.25
102,LKA,524.0,Sri Lanka,Inflation,Headline Consumer Price Inflation,9.64,3.43,6.25,6.72,7.54,6.9,2.84,3.75,3.97,6.58,2.14,4.3,6.15,7.01,50.43,Annual average inflation,8.51
89,KAZ,916.0,Kazakhstan,Inflation,Headline Consumer Price Inflation,17.17,7.31,7.08,8.36,5.17,5.8,6.6,6.72,14.59,7.43,6.02,5.24,6.75,8.0,14.99,Annual average inflation,8.482000000000001
181,URY,298.0,Uruguay,Inflation,Headline Consumer Price Inflation,7.88,7.06,6.7,8.1,8.1,8.58,8.88,8.67,9.63,6.22,7.61,7.88,9.76,7.75,9.11,Annual average inflation,8.128666666666668
171,TJK,923.0,Tajikistan,Inflation,Headline Consumer Price Inflation,20.51,7.44,6.9,12.47,5.83,5.04,6.03,5.47,6.04,7.31,3.83,7.79,8.59,8.92,7.67,Annual average inflation,7.9893333333333345
148,RUS,922.0,Russian Federation,Inflation,Headline Consumer Price Inflation,14.11,11.65,6.85,8.44,5.07,6.75,7.82,15.53,7.04,3.68,2.88,4.47,3.38,6.69,13.75,Annual average inflation,7.874
91,KGZ,917.0,Kyrgyz Republic,Inflation,Headline Consumer Price Inflation,24.5,6.79,7.97,16.64,2.78,6.62,7.53,6.48,0.39,3.18,1.54,1.14,6.33,11.91,13.92,Annual average inflation,7.848000000000001
172,TKM,925.0,Turkmenistan,Inflation,Headline Consumer Price Inflation,14.54,-2.67,4.45,5.28,5.31,6.81,6.01,7.41,3.65,8.04,13.3,5.09,7.58,14.95,17.5,Annual average inflation,7.816666666666666
