,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_tax_rate
131,Puerto Rico,39.0,39.0,39.0,39.0,30.0,30.0,39.0,39.0,39.0,39.0,39.0,37.5,37.5,37.5,37.5,37.4
34,Democratic Republic of the Congo,40.0,40.0,40.0,40.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,30.0,36.0
33,Cameroon,38.5,38.5,38.5,38.5,38.5,38.5,38.5,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,35.56666666666667
109,Malta,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
63,Guinea,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
64,Equatorial Guinea,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
172,Zambia,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,34.666666666666664
162,United States of America,39.251,39.16,39.2055,39.1925,39.134,39.0495,39.0755,38.9975,38.923934,38.906474,25.83858,25.886141,25.766571,25.754568,25.808,34.66331786666667
55,France,34.42989,34.42989,34.42989,36.09639,36.09639,37.9962,37.9962,37.9962,34.43,34.43,34.43,34.43,32.02,28.4075,25.825,34.229569999999995
86,Japan,39.54,39.54,39.54,39.54,39.54,36.99,36.99,32.11,29.97,29.97,29.74,29.74,29.74,29.74,29.74,34.162000000000006
165,Venezuela (Bolivarian Republic of),34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
24,Brazil,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
7,Argentina,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,35.0,35.0,34.0
167,United States Virgin Islands,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,23.1,23.1,23.1,23.1,23.1,33.366666666666674
118,Namibia,35.0,35.0,35.0,34.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.06666666666667
76,India,33.99,33.99,33.99,32.44,32.45,33.99,33.99,34.61,34.61,34.61,35.0,30.0,30.0,30.0,30.0,32.91133333333334
35,Congo,38.0,38.0,38.0,36.0,35.0,33.0,33.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,28.0,32.46666666666667
125,Pakistan,35.0,35.0,35.0,35.0,35.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,29.0,29.0,29.0,32.4
164,Saint Vincent and the Grenadines,35.0,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,33.0,30.0,30.0,30.0,30.0,32.03333333333333
112,Mozambique,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
103,Monaco,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,31.0,28.0,26.5,25.0,31.80866666666666
2,Angola,35.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,31.666666666666668
57,Gabon,35.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.666666666666668
13,Belgium,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,29.58,29.58,25.0,25.0,25.0,31.604
150,Seychelles,40.0,40.0,33.0,33.0,33.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,31.6
